Time(UTC),Symbol,Funding Rate
2024-06-01 00:00:00,ETHUSDT,0.0001
2024-05-31 16:00:00,ETHUSDT,0.0001
2024-05-31 08:00:00,ETHUSDT,0.0001
2024-05-31 00:00:00,ETHUSDT,0.0001
2024-05-30 16:00:00,ETHUSDT,0.0001
2024-05-30 08:00:00,ETHUSDT,0.0001
2024-05-30 00:00:00,ETHUSDT,0.0001
2024-05-29 16:00:00,ETHUSDT,0.0001
2024-05-29 08:00:00,ETHUSDT,0.00010197
2024-05-29 00:00:00,ETHUSDT,0.00018189
2024-05-28 16:00:00,ETHUSDT,0.0001
2024-05-28 08:00:00,ETHUSDT,0.0001
2024-05-28 00:00:00,ETHUSDT,0.0001
2024-05-27 16:00:00,ETHUSDT,0.0001
2024-05-27 08:00:00,ETHUSDT,0.0001
2024-05-27 00:00:00,ETHUSDT,0.00012533
2024-05-26 16:00:00,ETHUSDT,0.0001
2024-05-26 08:00:00,ETHUSDT,0.0001
2024-05-26 00:00:00,ETHUSDT,0.0001
2024-05-25 16:00:00,ETHUSDT,0.0001
2024-05-25 08:00:00,ETHUSDT,0.0001
2024-05-25 00:00:00,ETHUSDT,0.0001
2024-05-24 16:00:00,ETHUSDT,0.0001
2024-05-24 08:00:00,ETHUSDT,0.0001
2024-05-24 00:00:00,ETHUSDT,0.0001
2024-05-23 16:00:00,ETHUSDT,0.00021974
2024-05-23 08:00:00,ETHUSDT,0.00021075
2024-05-23 00:00:00,ETHUSDT,0.000207
2024-05-22 16:00:00,ETHUSDT,0.00014748
2024-05-22 08:00:00,ETHUSDT,0.0001
2024-05-22 00:00:00,ETHUSDT,0.00018991
2024-05-21 16:00:00,ETHUSDT,0.00015733
2024-05-21 08:00:00,ETHUSDT,0.00022486
2024-05-21 00:00:00,ETHUSDT,0.00031117
2024-05-20 16:00:00,ETHUSDT,0.00009772
2024-05-20 08:00:00,ETHUSDT,0.0001
2024-05-20 00:00:00,ETHUSDT,0.0001
2024-05-19 16:00:00,ETHUSDT,0.0001
2024-05-19 08:00:00,ETHUSDT,0.0001
2024-05-19 00:00:00,ETHUSDT,0.0001
