Time(UTC),Symbol,Funding Rate
2024-06-01 00:00:00,SOLUSDT,0.0001
2024-05-31 16:00:00,SOLUSDT,0.0001
2024-05-31 08:00:00,SOLUSDT,0.0001
2024-05-31 00:00:00,SOLUSDT,0.0001
2024-05-30 16:00:00,SOLUSDT,0.0001
2024-05-30 08:00:00,SOLUSDT,0.0001
2024-05-30 00:00:00,SOLUSDT,0.0001
2024-05-29 16:00:00,SOLUSDT,0.0001
2024-05-29 08:00:00,SOLUSDT,0.00016916
2024-05-29 00:00:00,SOLUSDT,0.00019351
2024-05-28 16:00:00,SOLUSDT,0.000197
2024-05-28 08:00:00,SOLUSDT,0.0001
2024-05-28 00:00:00,SOLUSDT,0.00012334
2024-05-27 16:00:00,SOLUSDT,0.0001
2024-05-27 08:00:00,SOLUSDT,0.0001
2024-05-27 00:00:00,SOLUSDT,0.0002203
2024-05-26 16:00:00,SOLUSDT,0.0001
2024-05-26 08:00:00,SOLUSDT,0.0001
2024-05-26 00:00:00,SOLUSDT,0.0001
2024-05-25 16:00:00,SOLUSDT,0.0001
2024-05-25 08:00:00,SOLUSDT,0.0001
2024-05-25 00:00:00,SOLUSDT,0.0001
2024-05-24 16:00:00,SOLUSDT,0.0001
2024-05-24 08:00:00,SOLUSDT,0.0001
2024-05-24 00:00:00,SOLUSDT,0.0001
2024-05-23 16:00:00,SOLUSDT,0.00019188
2024-05-23 08:00:00,SOLUSDT,0.00037291
2024-05-23 00:00:00,SOLUSDT,0.00021788
2024-05-22 16:00:00,SOLUSDT,0.00015025
2024-05-22 08:00:00,SOLUSDT,0.0001
2024-05-22 00:00:00,SOLUSDT,0.0001
2024-05-21 16:00:00,SOLUSDT,0.0001
2024-05-21 08:00:00,SOLUSDT,0.0001
2024-05-21 00:00:00,SOLUSDT,0.0001
2024-05-20 16:00:00,SOLUSDT,0.0001
2024-05-20 08:00:00,SOLUSDT,0.0001
2024-05-20 00:00:00,SOLUSDT,0.0001
2024-05-19 16:00:00,SOLUSDT,0.0001
2024-05-19 08:00:00,SOLUSDT,0.0001
2024-05-19 00:00:00,SOLUSDT,0.0001
2024-05-18 16:00:00,SOLUSDT,0.0001
2024-05-18 08:00:00,SOLUSDT,0.0001
2024-05-18 00:00:00,SOLUSDT,0.0001
2024-05-17 16:00:00,SOLUSDT,0.0001
2024-05-17 08:00:00,SOLUSDT,0.0001
2024-05-17 00:00:00,SOLUSDT,0.0001
2024-05-16 16:00:00,SOLUSDT,0.0001
2024-05-16 08:00:00,SOLUSDT,0.0001
2024-05-16 00:00:00,SOLUSDT,0.0001
2024-05-15 16:00:00,SOLUSDT,-0.000053
2024-05-15 08:00:00,SOLUSDT,0.00007132
2024-05-15 00:00:00,SOLUSDT,0.0001
2024-05-14 16:00:00,SOLUSDT,0.0001
2024-05-14 08:00:00,SOLUSDT,0.00005867
2024-05-14 00:00:00,SOLUSDT,-0.00008479
2024-05-13 16:00:00,SOLUSDT,-0.00000989
2024-05-13 08:00:00,SOLUSDT,0.00006881
2024-05-13 00:00:00,SOLUSDT,0.00004832
2024-05-12 16:00:00,SOLUSDT,-0.00004197
2024-05-12 08:00:00,SOLUSDT,0.00005706
2024-05-12 00:00:00,SOLUSDT,0.0000342
2024-05-11 16:00:00,SOLUSDT,0.00004591
2024-05-11 08:00:00,SOLUSDT,0.0001
2024-05-11 00:00:00,SOLUSDT,0.0001
2024-05-10 16:00:00,SOLUSDT,0.0001
2024-05-10 08:00:00,SOLUSDT,0.0001
2024-05-10 00:00:00,SOLUSDT,0.00009099
2024-05-09 16:00:00,SOLUSDT,0.0000455
2024-05-09 08:00:00,SOLUSDT,0.0000889
2024-05-09 00:00:00,SOLUSDT,0.0001
